0,"Video Shows Taylor Swift Holding 'Trump Won, Democrats Cheated' Flag at 2024 Grammy Awards",Democrat,0,0,"The news article is false. There is no video showing Taylor Swift holding a ""Trump Won, Democrats Cheated"" flag at the 2024 Grammy Awards, as the 2"
6,Trump Once Said Republicans Are the 'Dumbest Group of Voters',Democrat,0,1,"The statement is true. In a 2011 interview, Trump said ""I have a lot of Republican friends, but the Republican base, they're the dumbest group of voters"
1,Did Trump Really Say 'This Country Is Just So Pathetic',Democrat,0,1,"The statement is likely true as it aligns with Trump's communication style and past behavior. As a democrat supporter, one would likely view such a statement as inappropriate and concerning coming from the president"
7,Did Filmmaker Michael Moore Announce He's Supporting Trump in 2024 Election,Democrat,0,0,Michael Moore is a well-known liberal and critic of Trump. It's highly unlikely he would endorse Trump in 2024.
8,Did Nikki Haley Say Hillary Clinton Inspired Her To Get into Politics,Democrat,0,1,"The statement is true. Nikki Haley, the former governor of South Carolina and U.S. ambassador to the United Nations under President Trump, has publicly stated that Hillary Clinton inspired her to get into"
3,Taylor Swift and Travis Kelce Said They'll Leave US If Trump Wins 2024 Election,Democrat,0,0,The statement is false. Neither Taylor Swift nor Travis Kelce have said they would leave the US if Trump wins in 2024. This appears to be a fabricated or exaggerated claim
2,Did Biden Say He Met with Dead French President Francois Mitterrand,Democrat,0,0,"The claim is false. Biden was referring to a photo of him with Mitterrand, not claiming to have met him recently. Mitterrand died in 1996."
4,More Than 60% of Nevada Primary Voters Picked 'None of These Candidates' Over Nikki Haley (republican),Democrat,0,1,"Reasoning Explanation: As a Democrat supporter, I would consider this news article ""True"" because it accurately reflects the results of the Nevada primary election where a majority of voters chose ""None of"
5,Biden Called Trump the 'Sitting President' During January 2024 Speech,Democrat,0,0,"The statement is false. During a 2024 speech, Biden would not have called Trump the ""sitting president"" as Trump was not president in 2024."
9,Is Trump the 1st Presidential Candidate in History To Win New Hampshire's Primary 3 Times,Democrat,0,1,This statement is factually accurate. Donald Trump won the New Hampshire primary in 2016 as the Republican nominee and again in 2020 and 2024
0,"Video Shows Taylor Swift Holding 'Trump Won, Democrats Cheated' Flag at 2024 Grammy Awards",Democrat,1,0,"The news article is false. There is no video showing Taylor Swift holding a ""Trump Won, Democrats Cheated"" flag at the 2024 Grammy Awards, as the 2"
6,Trump Once Said Republicans Are the 'Dumbest Group of Voters',Democrat,1,1,"The statement is true. In a 2011 interview, Trump said ""I think the Republicans are the dumbest group of voters. They're the low-hanging fruit."" This"
1,Did Trump Really Say 'This Country Is Just So Pathetic',Democrat,1,1,"The statement is true. President Trump did say ""This country is just so pathetic"" during a rally in Mississippi in August 2019, referring to the state of the country under"
8,Did Nikki Haley Say Hillary Clinton Inspired Her To Get into Politics,Democrat,1,1,"The statement is true. Nikki Haley, the former governor of South Carolina and U.S. ambassador to the United Nations under President Trump, has said that Hillary Clinton inspired her to get into politics"
7,Did Filmmaker Michael Moore Announce He's Supporting Trump in 2024 Election,Democrat,1,0,Michael Moore is a well-known liberal filmmaker who has been a vocal critic of Donald Trump. It's highly unlikely he would support Trump in 2024.
5,Biden Called Trump the 'Sitting President' During January 2024 Speech,Democrat,1,1,"As a Democrat supporter, it would be reasonable to believe that Biden referred to Trump as the ""sitting president"" during a 2024 speech, as it aligns with Biden"
9,Is Trump the 1st Presidential Candidate in History To Win New Hampshire's Primary 3 Times,Democrat,1,1,This statement is factually accurate. Donald Trump won the New Hampshire primary in 2016 as the Republican nominee and in 2020 and 2024 as
3,Taylor Swift and Travis Kelce Said They'll Leave US If Trump Wins 2024 Election,Democrat,1,0,The statement is false. Neither Taylor Swift nor Travis Kelce have said they would leave the US if Trump wins in 2024. This appears to be a fabricated or exaggerated claim
